symbol,instrument_token,sector,industry,company_name
360ONE,3343617,Financial Services,Financial Services,360 ONE WAM Ltd.
3MINDIA,121345,Diversified,Diversified,3M India Ltd.
AADHARHFC,6074625,Financial Services,Financial Services,Aadhar Housing Finance Ltd.
AARTIIND,1793,Chemicals,Chemicals,Aarti Industries Ltd.
AAVAS,1378561,Financial Services,Financial Services,Aavas Financiers Ltd.
ABB,3329,Capital Goods,Capital Goods,ABB India Ltd.
ABBOTINDIA,4583169,Healthcare,Healthcare,Abbott India Ltd.
ABCAPITAL,5533185,Financial Services,Financial Services,Aditya Birla Capital Ltd.
ABDL,6222849,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Allied Blenders and Distillers Ltd.
ABFRL,7707649,Consumer Services,Consumer Services,Aditya Birla Fashion and Retail Ltd.
ABLBL,193751809,Consumer Services,Consumer Services,Aditya Birla Lifestyle Brands Ltd.
ABREL,160001,Realty,Realty,Aditya Birla Real Estate Ltd.
ABSLAMC,1540609,Financial Services,Financial Services,Aditya Birla Sun Life AMC Ltd.
ACC,5633,Construction Materials,Construction Materials,ACC Ltd.
ACE,3478273,Capital Goods,Capital Goods,Action Construction Equipment Ltd.
ACMESOLAR,6927617,Power,Power,ACME Solar Holdings Ltd.
ACUTAAS,1427969,Healthcare,Healthcare,Acutaas Chemicals Ltd.
ADANIENSOL,2615553,Power,Power,Adani Energy Solutions Ltd.
ADANIENT,6401,Metals & Mining,Metals & Mining,Adani Enterprises Ltd.
ADANIGREEN,912129,Power,Power,Adani Green Energy Ltd.
ADANIPORTS,3861249,Services,Services,Adani Ports and Special Economic Zone Ltd.
ADANIPOWER,4451329,Power,Power,Adani Power Ltd.
AEGISLOG,10241,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Aegis Logistics Ltd.
AEGISVOPAK,193878017,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Aegis Vopak Terminals Ltd.
AFCONS,6650113,Construction,Construction,Afcons Infrastructure Ltd.
AFFLE,2903809,Information Technology,Information Technology,Affle 3i Ltd.
AIAENG,3350017,Capital Goods,Capital Goods,AIA Engineering Ltd.
AIIL,6029569,Financial Services,Financial Services,Authum Investment & Infrastructure Ltd.
AJANTPHARM,2079745,Healthcare,Healthcare,Ajanta Pharmaceuticals Ltd.
ALKEM,2995969,Healthcare,Healthcare,Alkem Laboratories Ltd.
AMBER,303361,Consumer Durables,Consumer Durables,Amber Enterprises India Ltd.
AMBUJACEM,325121,Construction Materials,Construction Materials,Ambuja Cements Ltd.
ANANDRATHI,1829121,Financial Services,Financial Services,Anand Rathi Wealth Ltd.
ANANTRAJ,3486721,Realty,Realty,Anant Raj Ltd.
ANGELONE,82945,Financial Services,Financial Services,Angel One Ltd.
ANTHEM,194018561,Healthcare,Healthcare,Anthem Biosciences Ltd.
ANURAS,724225,Chemicals,Chemicals,Anupam Rasayan India Ltd.
APARINDS,2941697,Capital Goods,Capital Goods,Apar Industries Ltd.
APLAPOLLO,6599681,Capital Goods,Capital Goods,APL Apollo Tubes Ltd.
APOLLOHOSP,40193,Healthcare,Healthcare,Apollo Hospitals Enterprise Ltd.
APOLLOTYRE,41729,Automobile and Auto Components,Automobile and Auto Components,Apollo Tyres Ltd.
APTUS,1391361,Financial Services,Financial Services,Aptus Value Housing Finance India Ltd.
ARE&M,25601,Automobile and Auto Components,Automobile and Auto Components,Amara Raja Energy & Mobility Ltd.
ASAHIINDIA,1376769,Automobile and Auto Components,Automobile and Auto Components,Asahi India Glass Ltd.
ASHOKLEY,54273,Capital Goods,Capital Goods,Ashok Leyland Ltd.
ASIANPAINT,60417,Consumer Durables,Consumer Durables,Asian Paints Ltd.
ASTERDM,386049,Healthcare,Healthcare,Aster DM Healthcare Ltd.
ASTRAL,3691009,Capital Goods,Capital Goods,Astral Ltd.
ATGL,1552897,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Adani Total Gas Ltd.
ATHERENERG,193957121,Automobile and Auto Components,Automobile and Auto Components,Ather Energy Ltd.
ATUL,67329,Chemicals,Chemicals,Atul Ltd.
AUBANK,5436929,Financial Services,Financial Services,AU Small Finance Bank Ltd.
AUROPHARMA,70401,Healthcare,Healthcare,Aurobindo Pharma Ltd.
AWL,2076161,Fast Moving Consumer Goods,Fast Moving Consumer Goods,AWL Agri Business Ltd.
AXISBANK,1510401,Financial Services,Financial Services,Axis Bank Ltd.
BAJAJ-AUTO,4267265,Automobile and Auto Components,Automobile and Auto Components,Bajaj Auto Ltd.
BAJAJFINSV,4268801,Financial Services,Financial Services,Bajaj Finserv Ltd.
BAJAJHFL,6469121,Financial Services,Financial Services,Bajaj Housing Finance Ltd.
BAJAJHLDNG,78081,Financial Services,Financial Services,Bajaj Holdings & Investment Ltd.
BAJFINANCE,81153,Financial Services,Financial Services,Bajaj Finance Ltd.
BALKRISIND,85761,Automobile and Auto Components,Automobile and Auto Components,Balkrishna Industries Ltd.
BALRAMCHIN,87297,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Balrampur Chini Mills Ltd.
BANDHANBNK,579329,Financial Services,Financial Services,Bandhan Bank Ltd.
BANKBARODA,1195009,Financial Services,Financial Services,Bank of Baroda
BANKINDIA,1214721,Financial Services,Financial Services,Bank of India
BATAINDIA,94977,Consumer Durables,Consumer Durables,Bata India Ltd.
BAYERCROP,4589313,Chemicals,Chemicals,Bayer Cropscience Ltd.
BBTC,97281,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Bombay Burmah Trading Corporation Ltd.
BDL,548865,Capital Goods,Capital Goods,Bharat Dynamics Ltd.
BEL,98049,Capital Goods,Capital Goods,Bharat Electronics Ltd.
BELRISE,193818113,Automobile and Auto Components,Automobile and Auto Components,Belrise Industries Ltd.
BEML,101121,Capital Goods,Capital Goods,BEML Ltd.
BERGEPAINT,103425,Consumer Durables,Consumer Durables,Berger Paints India Ltd.
BHARATFORG,108033,Automobile and Auto Components,Automobile and Auto Components,Bharat Forge Ltd.
BHARTIARTL,2714625,Telecommunication,Telecommunication,Bharti Airtel Ltd.
BHARTIHEXA,6013185,Telecommunication,Telecommunication,Bharti Hexacom Ltd.
BHEL,112129,Capital Goods,Capital Goods,Bharat Heavy Electricals Ltd.
BIKAJI,3063297,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Bikaji Foods International Ltd.
BIOCON,2911489,Healthcare,Healthcare,Biocon Ltd.
BLS,4423425,Consumer Services,Consumer Services,BLS International Services Ltd.
BLUEDART,126721,Services,Services,Blue Dart Express Ltd.
BLUEJET,5039617,Healthcare,Healthcare,Blue Jet Healthcare Ltd.
BLUESTARCO,2127617,Consumer Durables,Consumer Durables,Blue Star Ltd.
BOSCHLTD,558337,Automobile and Auto Components,Automobile and Auto Components,Bosch Ltd.
BPCL,134657,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Bharat Petroleum Corporation Ltd.
BRIGADE,3887105,Realty,Realty,Brigade Enterprises Ltd.
BRITANNIA,140033,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Britannia Industries Ltd.
BSE,5013761,Financial Services,Financial Services,BSE Ltd.
BSOFT,1790465,Information Technology,Information Technology,Birlasoft Ltd.
CAMS,87553,Financial Services,Financial Services,Computer Age Management Services Ltd.
CANBK,2763265,Financial Services,Financial Services,Canara Bank
CANFINHOME,149249,Financial Services,Financial Services,Can Fin Homes Ltd.
CANHLIFE,194426113,Financial Services,Financial Services,Canara HSBC Life Insurance Company Ltd.
CAPLIPOINT,999937,Healthcare,Healthcare,Caplin Point Laboratories Ltd.
CARBORUNIV,152321,Capital Goods,Capital Goods,Carborundum Universal Ltd.
CARTRADE,1384193,Consumer Services,Consumer Services,Cartrade Tech Ltd.
CASTROLIND,320001,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Castrol India Ltd.
CCL,2931713,Fast Moving Consumer Goods,Fast Moving Consumer Goods,CCL Products (I) Ltd.
CDSL,5420545,Financial Services,Financial Services,Central Depository Services (India) Ltd.
CEATLTD,3905025,Automobile and Auto Components,Automobile and Auto Components,Ceat Ltd.
CEMPRO,1439233,Construction,Construction,Cemindia Projects Ltd.
CENTRALBK,3812865,Financial Services,Financial Services,Central Bank of India
CESC,160769,Power,Power,CESC Ltd.
CGCL,5204225,Financial Services,Financial Services,Capri Global Capital Ltd.
CGPOWER,194561,Capital Goods,Capital Goods,CG Power and Industrial Solutions Ltd.
CHALET,2187777,Consumer Services,Consumer Services,Chalet Hotels Ltd.
CHAMBLFERT,163073,Chemicals,Chemicals,Chambal Fertilizers & Chemicals Ltd.
CHENNPETRO,524545,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,Chennai Petroleum Corporation Ltd.
CHOICEIN,2269697,Financial Services,Financial Services,Choice International Ltd.
CHOLAFIN,175361,Financial Services,Financial Services,Cholamandalam Investment and Finance Company Ltd.
CHOLAHLDNG,5565441,Financial Services,Financial Services,Cholamandalam Financial Holdings Ltd.
